GeneID	106-r	106-r__1	106-r__2	106-s	106-s__1	106-s__2	713-r	713-r__1	713-r__2	713-s	713-s__1	713-s__2	WB-r	WB-r__1	WB-r__2	WB-s	WB-s__1	WB-s__2
GL50803_3948	14.4237736375474	16.5060551987072	17.9634332864617	18.7328224149207	16.0773568310284	18.3072018414484	21.1255705646897	22.5127875829802	19.5338022219739	19.759097184143	19.4374620231882	23.7078921471947	19.7770372441386	21.6945344130595	19.3619778977903	22.0079671695171	19.4656432930712	19.2128551805348
GL50803_39483	364.933405457376	467.729364665344	373.53145615525	353.117541811897	467.97335598498	382.698027988074	342.409668075667	321.886783426548	354.914457230332	350.79091985057	389.271465213665	455.136487525402	168.324294067212	185.87699102508	234.467558728624	312.230647842508	288.889274772241	379.710199665365
GL50803_3950	26.3507772332983	26.5579014863639	26.5899520708845	36.3031659418506	33.389881782494	33.0011293464802	37.7989423215702	35.3132139569162	38.7631592770594	44.16473144232	40.9646791521308	48.6132192737851	35.2017834260921	36.3278620076594	35.3427759406165	35.3218113096571	37.2927769050269	32.5715715314562
GL50803_3951	54.6902923709965	65.5581646083783	62.8829917173545	75.2306571325097	71.2861100780496	69.7832100004026	93.0603411535866	86.8978591710411	81.8571582521088	89.1592016478603	84.3692608242945	94.7592916080142	77.8553225498795	77.6794264754561	77.7215330823142	77.3715866782966	75.7347348081213	77.1662063798929
GL50803_39513	2.65993694713483	1.84992667741786	1.37190184230643	1.98428147979352	2.23943962906239	2.43994651220489	2.4167312208103	1.61907754557182	2.10881877571436	1.75452033022778	1.9900187395847	1.32044484088909	1.42049092987317	1.37656282377095	1.21272953757526	1.78291047563031	2.05814609718399	1.91363447776086
GL50803_39515	11.6612358939811	10.3128620892066	10.251848312508	14.2393944055719	12.4460998932176	11.7949241873472	9.67711131620564	9.18774782195834	9.09047540568206	12.2952198549926	10.1020525390835	11.6407637288906	9.19826093934269	9.22720860025216	10.2282319312015	9.82636855982943	8.85981479155212	10.2305338769943
GL50803_39524	10.2148810544175	10.2520192450225	8.13163637439809	6.9496020477706	8.02558855183339	7.35641613078449	5.60253813043485	6.06671898167478	5.01691331351321	6.26075612248088	5.30785811375572	5.49027065422305	5.08427081457338	4.23768098678247	4.560358185886	5.62139102296548	4.59672399226972	5.59618947117637
GL50803_39525	2.35032661429076	2.28160665690412	2.04538092852958	1.26356400868556	1.71670343354725	1.35621079506083	1.96452635742521	2.13913212648648	2.10110044753972	2.0743469080509	2.05465475371189	1.56368468000023	2.48391856589845	2.15301534005884	2.80136288561568	1.72625393618625	1.44574383627838	1.70508897949905
GL50803_39528	10.7572641192539	9.09600520552442	7.258607929294	8.69915221364292	9.31311612699383	9.53457286224582	6.87584225098822	9.15268008217988	7.50393016978472	7.61851046229602	8.09020309274057	8.16590888444567	8.22798024953861	7.38176688020173	7.5245910067119	7.70174833067712	7.52528201960285	7.38871891116255
GL50803_39537	2.35032661429076	1.70359963715507	1.89571890936888	1.02057093009219	1.28752757516044	1.52059998234093	1.74624565104463	2.17419986626495	1.67230443783774	1.43318513647153	2.09746006108089	1.66793032533358	1.43601542091004	1.50369325337443	1.23781150759763	1.85904270050827	1.29746241717291	1.35532713755053
